Lớp,Mã HP,Môn,TC,LT,TH,Tự học,PCGD,SS lớp,Mã LHP,Nhóm,LT/TH,Thứ,Ca,GĐ,GV,Ghi chú 1,Ghi chú 2
K67E-CE1,INT3307,An toàn và an ninh mạng,3,45,,,1,40,INT3307 21,CL,LT+TH,5,1,102-B,Nguyễn Đại Thọ,,"Học 1 ca/15 tuần, thi đợt 2"
K70I-IT1,UET.MAT1051,Giải tích 2,5,45,,,9,60,UET.MAT1051 1,CL,LT,6,3,103-B,Nguyễn Thị Hồng,,"Học 1 ca/15 tuần, thi đợt 2"
K70I-IT1,UET.MAT1051,Giải tích 2,5,,60,,9,60,UET.MAT1051 1,CL,TH,5,3,402-B,Nguyễn Thị Hồng,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K70I-IT1,UET.MAT1051,Giải tích 2,5,,60,,9,60,UET.MAT1051 1,CL,TH,6,2,103-B,Nguyễn Thị Hồng,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K70I-IT2,UET.MAT1051,Giải tích 2,5,45,,,9,63,UET.MAT1051 2,CL,LT,2,3,205-B,Nguyễn Năng Thiều,,"Học 1 ca/15 tuần, thi đợt 2"
K70I-IT2,UET.MAT1051,Giải tích 2,5,,60,,9,63,UET.MAT1051 2,CL,TH,3,1,206-B,Nguyễn Năng Thiều,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K70I-IT2,UET.MAT1051,Giải tích 2,5,,60,,9,63,UET.MAT1051 2,CL,TH,4,4,209-B,Nguyễn Năng Thiều,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K70I-IT3,UET.MAT1051,Giải tích 2,5,45,,,9,62,UET.MAT1051 3,CL,LT,4,3,308-B,Nguyễn Năng Thiều,,"Học 1 ca/15 tuần, thi đợt 2"
K70I-IT3,UET.MAT1051,Giải tích 2,5,,60,,9,62,UET.MAT1051 3,CL,TH,6,1,205-B,Nguyễn Năng Thiều,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K70I-IT3,UET.MAT1051,Giải tích 2,5,,60,,9,62,UET.MAT1051 3,CL,TH,2,4,509-B,Nguyễn Năng Thiều,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K70I-IT4,UET.MAT1051,Giải tích 2,5,45,,,9,61,UET.MAT1051 4,CL,LT,3,3,308-B,Nguyễn Thị Hồng,,"Học 1 ca/15 tuần, thi đợt 2"
K70I-IT4,UET.MAT1051,Giải tích 2,5,,60,,9,61,UET.MAT1051 4,CL,TH,3,2,308-B,Nguyễn Thị Hồng,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K70I-IT4,UET.MAT1051,Giải tích 2,5,,60,,9,61,UET.MAT1051 4,CL,TH,6,4,409-B,Nguyễn Thị Hồng,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K70I-IT5,UET.MAT1051,Giải tích 2,5,45,,,9,59,UET.MAT1051 5,CL,LT,5,1,402-B,Đào Quang Khải,,"Học 1 ca/15 tuần, thi đợt 2"
