Lớp,Mã HP,Môn,TC,LT,TH,Tự học,PCGD,SS lớp,Mã LHP,Nhóm,LT/TH,Thứ,Ca,GĐ,GV,Ghi chú,Ghi chú
K69I-IT1,INT2213,Mạng máy tính,4,45,,,1,60,INT2213 1,CL,LT,6,4,105-B,Nguyễn Hoài Sơn,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT1,INT2213,Mạng máy tính,4,,30,,1,60,INT2213 1,CL,TH,4,3,407-A,Đào Minh Thư,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT2,INT2213,Mạng máy tính,4,45,,,1,60,INT2213 2,CL,LT,3,1,305-B,Trần Trúc Mai,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT2,INT2213,Mạng máy tính,4,,30,,1,60,INT2213 2,CL,TH,5,1,303-A,Đào Minh Thư,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT3,INT2213,Mạng máy tính,4,45,,,1,60,INT2213 3,CL,LT,4,4,402-B,Hoàng Xuân Tùng,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT3,INT2213,Mạng máy tính,4,,30,,1,60,INT2213 3,CL,TH,2,3,503-A,Đào Minh Thư,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT4,INT2213,Mạng máy tính,4,45,,,1,60,INT2213 4,CL,LT,3,1,401-B,Đặng Minh Công,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT4,INT2213,Mạng máy tính,4,,30,,1,60,INT2213 4,CL,TH,2,4,207-A,Nguyễn Thái Dương+Nguyễn Lưu Tú,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT5,INT2213,Mạng máy tính,4,45,,,1,60,INT2213 5,CL,LT,2,3,407-B,Phạm Mạnh Linh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT5,INT2213,Mạng máy tính,4,,30,,1,60,INT2213 5,CL,TH,4,3,503-A,Vũ Đức Trung+Đỗ Quang Huy,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT6,INT2213,Mạng máy tính,4,45,,,1,60,INT2213 6,CL,LT,6,3,301-B,Hồ Đắc Phương,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT6,INT2213,Mạng máy tính,4,,30,,1,60,INT2213 6,CL,TH,2,2,403-A,Nguyễn Thái Dương+Đỗ Quang Huy,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT1,PHI1002,Chủ nghĩa xã hội khoa học,2,30,,,9,60,PHI1002 1,CL,LT,3,4,206-B,Khuất Thị Thanh Vân,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-IT2,PHI1002,Chủ nghĩa xã hội khoa học,2,30,,,9,60,PHI1002 2,CL,LT,3,2,107-B,Khuất Thị Thanh Vân,,"Học 1 ca/10 tuần, thi đợt 1"
